scenario_id,p,config,seed,avg_gate_wait,p95_gate_wait,avg_esc_wait,zone1_density_avg,zone1_density_max,zone1_los_avg,zone1_los_max,zone1_category,zone2_density_avg,zone2_density_max,zone2_los_avg,zone2_los_max,zone2_category,zone3a_density_avg,zone3a_density_max,zone3a_los_avg,zone3a_los_max,zone3a_category,zone3b_density_avg,zone3b_density_max,zone3b_los_avg,zone3b_los_max,zone3b_category,zone3c_density_avg,zone3c_density_max,zone3c_los_avg,zone3c_los_max,zone3c_category,zone4a_density_avg,zone4a_density_max,zone4a_los_avg,zone4a_los_max,zone4a_category,zone4b_density_avg,zone4b_density_max,zone4b_los_avg,zone4b_los_max,zone4b_category,zone4c_density_avg,zone4c_density_max,zone4c_los_avg,zone4c_los_max,zone4c_category
p10_cfg1_s42,0.1,1,42,12.754916067146285,32.21999999999999,22.426978417266184,0.0486933333333333,0.1208,A,A,walkway,0.7142857142857142,2.821428571428572,A,D,waiting,0.3506944444444445,0.7916666666666666,B,D,walkway,0.3777777777777777,1.1666666666666667,B,E,walkway,0.0188888888888888,0.0333333333333333,A,A,walkway,0.4520833333333333,1.2083333333333333,C,E,walkway,1.6083333333333334,4.833333333333333,E,F,walkway,0.0222222222222222,0.0333333333333333,A,A,walkway
p10_cfg1_s43,0.1,1,43,15.672887323943664,36.6125,20.66418439716312,0.0499866666666666,0.1208,A,A,walkway,0.8547619047619047,3.2857142857142856,B,D,waiting,0.3881944444444444,0.8333333333333334,B,D,walkway,0.475,1.3333333333333333,C,E,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway,0.4361111111111111,1.0833333333333333,C,E,walkway,1.1555555555555554,3.0,E,F,walkway,0.0211111111111111,0.0333333333333333,A,A,walkway
p10_cfg1_s44,0.1,1,44,13.13219895287958,32.3475,20.37107329842932,0.0428266666666666,0.1152,A,A,walkway,0.6642857142857143,2.857142857142857,A,D,waiting,0.3124999999999999,0.8333333333333334,B,D,walkway,0.4027777777777778,1.5,C,E,walkway,0.0161111111111111,0.0333333333333333,A,A,walkway,0.3965277777777778,0.9583333333333334,B,D,walkway,1.1,3.333333333333333,E,F,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway
p10_cfg1_s45,0.1,1,45,15.213559322033896,34.78999999999999,19.58716707021792,0.0472,0.1136,A,A,walkway,0.8089285714285714,3.071428571428572,B,D,waiting,0.323611111111111,0.7916666666666666,B,D,walkway,0.3472222222222222,1.1666666666666667,B,E,walkway,0.0172222222222222,0.0333333333333333,A,A,walkway,0.4041666666666667,1.0833333333333333,C,E,walkway,1.2416666666666665,3.333333333333333,E,F,walkway,0.0205555555555555,0.0333333333333333,A,A,walkway
p10_cfg1_s46,0.1,1,46,15.028571428571428,35.5875,21.71490610328639,0.0519333333333333,0.1272,A,A,walkway,0.8547619047619046,3.321428571428572,B,E,waiting,0.3347222222222222,0.6666666666666666,B,C,walkway,0.3111111111111111,0.8333333333333334,B,D,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4979166666666667,1.1666666666666667,C,E,walkway,1.65,4.5,E,F,walkway,0.0227777777777777,0.0666666666666666,A,A,walkway
p10_cfg2_s42,0.1,2,42,19.993525179856118,47.97,20.38312807881773,0.0525999999999999,0.1224,A,A,walkway,1.0523809523809524,3.5357142857142856,C,E,waiting,0.3027777777777778,0.7083333333333334,B,D,walkway,0.2277777777777778,0.6666666666666666,A,C,walkway,0.015,0.0333333333333333,A,A,walkway,0.4680555555555555,1.0,C,D,walkway,1.427777777777778,3.6666666666666665,E,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
p10_cfg2_s43,0.1,2,43,24.254342723004697,53.925,18.94093137254902,0.0564266666666666,0.1248,A,A,walkway,1.281547619047619,4.0,C,E,waiting,0.2972222222222223,0.6666666666666666,A,C,walkway,0.2194444444444444,0.8333333333333334,A,D,walkway,0.0161111111111111,0.0333333333333333,A,A,walkway,0.4722222222222221,0.9583333333333334,C,D,walkway,1.175,3.0,E,F,walkway,0.0205555555555555,0.0333333333333333,A,A,walkway
p10_cfg2_s44,0.1,2,44,22.201570680628272,52.53749999999998,16.977851458885944,0.0470666666666666,0.1144,A,A,walkway,1.056547619047619,3.7857142857142856,C,E,waiting,0.2722222222222222,0.6666666666666666,A,C,walkway,0.211111111111111,0.8333333333333334,A,D,walkway,0.0161111111111111,0.0333333333333333,A,A,walkway,0.39375,0.8333333333333334,B,D,walkway,0.7138888888888888,1.8333333333333333,D,E,walkway,0.0205555555555555,0.0333333333333333,A,A,walkway
p10_cfg2_s45,0.1,2,45,20.74309927360775,49.64999999999996,18.44912718204489,0.05056,0.116,A,A,walkway,1.0726190476190474,3.678571428571429,C,E,waiting,0.2902777777777777,0.5833333333333334,A,C,walkway,0.2222222222222222,0.6666666666666666,A,C,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4409722222222222,0.9166666666666666,C,D,walkway,1.0638888888888889,2.833333333333333,E,F,walkway,0.0222222222222222,0.0333333333333333,A,A,walkway
p10_cfg2_s46,0.1,2,46,24.482027649769588,54.08999999999999,18.70738095238095,0.05716,0.128,A,A,walkway,1.310714285714286,4.107142857142857,C,E,waiting,0.2902777777777778,0.5833333333333334,A,C,walkway,0.1972222222222222,0.5,A,C,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4993055555555555,0.9166666666666666,C,D,walkway,1.1583333333333334,2.833333333333333,E,F,walkway,0.025,0.0333333333333333,A,A,walkway
p10_cfg3_s42,0.1,3,42,34.73422982885086,75.20999999999998,14.591884816753929,0.06076,0.1304,A,A,walkway,1.799404761904762,4.464285714285714,D,E,waiting,0.3194444444444444,0.5833333333333334,B,C,walkway,0.2361111111111111,0.6666666666666666,A,C,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway,0.3215277777777777,0.75,B,D,walkway,0.3694444444444444,1.3333333333333333,B,E,walkway,0.0172222222222222,0.0333333333333333,A,A,walkway
p10_cfg3_s43,0.1,3,43,31.190169902912626,69.84249999999997,14.563766233766234,0.0586799999999999,0.124,A,A,walkway,1.6851190476190474,4.357142857142857,D,E,waiting,0.3118055555555556,0.5833333333333334,B,C,walkway,0.2055555555555555,0.6666666666666666,A,C,walkway,0.0161111111111111,0.0333333333333333,A,A,walkway,0.3361111111111111,0.7916666666666666,B,D,walkway,0.386111111111111,1.6666666666666667,B,E,walkway,0.0222222222222222,0.0333333333333333,A,A,walkway
p10_cfg3_s44,0.1,3,44,28.95314136125654,64.4275,14.217127071823205,0.0498,0.1152,A,A,walkway,1.3619047619047615,4.0,C,E,waiting,0.2875,0.5833333333333334,A,C,walkway,0.2194444444444444,0.6666666666666666,A,C,walkway,0.0138888888888888,0.0333333333333333,A,A,walkway,0.3083333333333334,0.5833333333333334,B,C,walkway,0.3222222222222222,0.8333333333333334,B,D,walkway,0.0155555555555555,0.0333333333333333,A,A,walkway
p10_cfg3_s45,0.1,3,45,33.93716049382716,71.00999999999998,14.132114882506528,0.0583733333333333,0.1208,A,A,walkway,1.7273809523809522,4.25,D,E,waiting,0.3131944444444444,0.5416666666666666,B,C,walkway,0.2111111111111111,0.6666666666666666,A,C,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway,0.3229166666666667,0.5833333333333334,B,C,walkway,0.3194444444444444,0.8333333333333334,B,D,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway
p10_cfg3_s46,0.1,3,46,35.77018561484918,80.125,14.807777777777776,0.0646,0.1328,A,A,walkway,1.898809523809524,4.75,D,E,waiting,0.3402777777777777,0.5833333333333334,B,C,walkway,0.2305555555555555,0.8333333333333334,A,D,walkway,0.02,0.0333333333333333,A,A,walkway,0.3534722222222222,0.7916666666666666,B,D,walkway,0.4027777777777778,1.3333333333333333,C,E,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway
p10_cfg4_s42,0.1,4,42,53.48757396449704,114.575,14.021583850931677,0.0823733333333333,0.1488,A,A,walkway,2.939880952380953,5.678571428571429,D,F,waiting,0.1902777777777778,0.4583333333333333,A,C,walkway,0.1083333333333333,0.3333333333333333,A,B,walkway,0.0116666666666666,0.0333333333333333,A,A,walkway,0.3326388888888889,0.5833333333333334,B,C,walkway,0.3333333333333333,0.8333333333333334,B,D,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway
p10_cfg4_s43,0.1,4,43,44.84116022099448,101.9575,13.974705882352945,0.0755333333333333,0.1392,A,A,walkway,2.5517857142857143,5.321428571428571,D,F,waiting,0.1923611111111111,0.4583333333333333,A,C,walkway,0.1166666666666666,0.3333333333333333,A,B,walkway,0.0133333333333333,0.0333333333333333,A,A,walkway,0.3597222222222223,0.5416666666666666,B,C,walkway,0.3555555555555555,0.8333333333333334,B,D,walkway,0.02,0.0333333333333333,A,A,walkway
p10_cfg4_s44,0.1,4,44,39.09722222222222,88.9175,14.641666666666666,0.0627333333333333,0.1248,A,A,walkway,1.980952380952381,4.642857142857143,D,E,waiting,0.1743055555555555,0.375,A,B,walkway,0.1305555555555555,0.5,A,C,walkway,0.0077777777777777,0.0333333333333333,A,A,walkway,0.3645833333333333,0.6666666666666666,B,C,walkway,0.3916666666666667,0.8333333333333334,B,D,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway
p10_cfg4_s45,0.1,4,45,41.569054441260754,96.64,14.032282282282283,0.0702,0.128,A,A,walkway,2.345238095238095,4.928571428571429,D,E,waiting,0.2,0.5,A,C,walkway,0.1166666666666666,0.3333333333333333,A,B,walkway,0.0133333333333333,0.0333333333333333,A,A,walkway,0.3395833333333333,0.625,B,C,walkway,0.3527777777777777,1.0,B,D,walkway,0.0172222222222222,0.0333333333333333,A,A,walkway
p10_cfg4_s46,0.1,4,46,54.30027700831025,118.0,14.80982404692082,0.0863333333333333,0.1512,A,A,walkway,3.0446428571428568,5.75,D,F,waiting,0.2222222222222222,0.5,A,C,walkway,0.125,0.5,A,C,walkway,0.0138888888888888,0.0333333333333333,A,A,walkway,0.3722222222222222,0.625,B,C,walkway,0.3555555555555555,1.0,B,D,walkway,0.0183333333333333,0.0333333333333333,A,A,walkway
p10_cfg5_s42,0.1,5,42,76.14864341085273,168.065,16.172839506172842,0.1088533333333333,0.1888,A,A,walkway,4.079166666666667,7.607142857142857,E,F,waiting,0.2722222222222222,0.5416666666666666,A,C,walkway,0.0,0.0,A,A,walkway,0.0216666666666666,0.0666666666666666,A,A,walkway,0.2715277777777777,0.5,A,C,walkway,0.0,0.0,A,A,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway
p10_cfg5_s43,0.1,5,43,81.51604938271606,172.465,15.688646288209608,0.11304,0.2016,A,A,walkway,4.31904761904762,8.357142857142858,E,F,waiting,0.2541666666666666,0.4583333333333333,A,C,walkway,0.0,0.0,A,A,walkway,0.0205555555555555,0.0666666666666666,A,A,walkway,0.2381944444444444,0.4583333333333333,A,C,walkway,0.0027777777777777,0.1666666666666666,A,A,walkway,0.0216666666666666,0.0666666666666666,A,A,walkway
p10_cfg5_s44,0.1,5,44,57.60074626865672,126.89999999999998,15.247460937500003,0.0835466666666666,0.1528,A,A,walkway,3.026190476190476,6.071428571428571,D,F,waiting,0.2805555555555556,0.7083333333333334,A,D,walkway,0.0,0.0,A,A,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway,0.2583333333333333,0.5,A,C,walkway,0.0,0.0,A,A,walkway,0.0227777777777777,0.0666666666666666,A,A,walkway
p10_cfg5_s45,0.1,5,45,65.91353383458646,147.475,15.503373015873017,0.0974933333333333,0.1704,A,A,walkway,3.628571428571428,6.821428571428571,E,F,waiting,0.2791666666666667,0.625,A,C,walkway,0.0,0.0,A,A,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway,0.2569444444444445,0.7083333333333334,A,D,walkway,0.0,0.0,A,A,walkway,0.0222222222222222,0.0666666666666666,A,A,walkway
p10_cfg5_s46,0.1,5,46,77.82070312500001,180.8,15.747560975609758,0.1146933333333333,0.204,A,A,walkway,4.329166666666667,8.178571428571429,E,F,waiting,0.25625,0.5,A,C,walkway,0.0,0.0,A,A,walkway,0.0211111111111111,0.0666666666666666,A,A,walkway,0.2680555555555555,0.5416666666666666,A,C,walkway,0.0,0.0,A,A,walkway,0.025,0.0666666666666666,A,A,walkway
p10_cfg6_s42,0.1,6,42,73.76620689655172,195.76,14.412949640287772,0.1411866666666666,0.2464,A,A,walkway,4.856547619047619,10.107142857142858,E,F,waiting,0.0444444444444444,0.2083333333333333,A,A,walkway,0.0,0.0,A,A,walkway,0.0044444444444444,0.0333333333333333,A,A,walkway,0.2354166666666666,0.5,A,C,walkway,0.0,0.0,A,A,walkway,0.0188888888888888,0.0666666666666666,A,A,walkway
p10_cfg6_s43,0.1,6,43,72.09134615384616,196.96250000000003,14.8125,0.1388266666666666,0.2528,A,A,walkway,4.734523809523809,10.071428571428571,E,F,waiting,0.0569444444444444,0.3333333333333333,A,B,walkway,0.0,0.0,A,A,walkway,0.0044444444444444,0.0333333333333333,A,A,walkway,0.2395833333333333,0.4583333333333333,A,C,walkway,0.0,0.0,A,A,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway
p10_cfg6_s44,0.1,6,44,72.51820987654321,188.6975,15.305732484076437,0.1162266666666666,0.2112,A,A,walkway,4.004166666666666,8.25,E,F,waiting,0.0541666666666666,0.2916666666666667,A,A,walkway,0.0027777777777777,0.1666666666666666,A,A,walkway,0.005,0.0666666666666666,A,A,walkway,0.2715277777777778,0.5,A,C,walkway,0.0,0.0,A,A,walkway,0.0222222222222222,0.0666666666666666,A,A,walkway
p10_cfg6_s45,0.1,6,45,74.45766666666668,194.26249999999996,15.418750000000005,0.1344266666666666,0.236,A,A,walkway,4.563690476190476,9.678571428571429,E,F,waiting,0.0534722222222222,0.25,A,A,walkway,0.0,0.0,A,A,walkway,0.0038888888888888,0.0333333333333333,A,A,walkway,0.25,0.5833333333333334,A,C,walkway,0.0,0.0,A,A,walkway,0.0211111111111111,0.0666666666666666,A,A,walkway
p10_cfg6_s46,0.1,6,46,72.42953020134229,198.28,14.525000000000002,0.1469466666666667,0.2568,A,A,walkway,5.058928571428571,10.571428571428571,F,F,waiting,0.0465277777777777,0.2916666666666667,A,A,walkway,0.0,0.0,A,A,walkway,0.005,0.0333333333333333,A,A,walkway,0.2354166666666667,0.5416666666666666,A,C,walkway,0.0,0.0,A,A,walkway,0.025,0.0666666666666666,A,A,walkway
p30_cfg1_s42,0.3,1,42,17.039423076923075,62.12499999999999,23.447328244274807,0.05212,0.1216,A,A,walkway,0.9202380952380952,2.9285714285714284,B,D,waiting,0.2645833333333333,0.8333333333333334,A,D,walkway,0.325,1.5,B,E,walkway,0.0155555555555555,0.0333333333333333,A,A,walkway,0.6180555555555556,1.25,C,E,walkway,1.4027777777777777,4.0,E,F,walkway,0.025,0.0666666666666666,A,A,walkway
p30_cfg1_s43,0.3,1,43,15.94401408450704,57.34999999999998,22.903117206982547,0.0524533333333333,0.1216,A,A,walkway,0.881547619047619,3.071428571428572,B,D,waiting,0.275,0.7083333333333334,A,D,walkway,0.2611111111111111,1.0,A,D,walkway,0.015,0.0333333333333333,A,A,walkway,0.6069444444444444,1.25,C,E,walkway,1.5972222222222223,4.5,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg1_s44,0.3,1,44,13.952770448548808,53.755,22.8781512605042,0.0456133333333333,0.1136,A,A,walkway,0.7351190476190477,2.642857142857143,A,D,waiting,0.2215277777777778,0.7083333333333334,A,D,walkway,0.2361111111111111,1.0,A,D,walkway,0.0122222222222222,0.0333333333333333,A,A,walkway,0.5590277777777778,1.2916666666666667,C,E,walkway,1.3055555555555556,4.166666666666667,E,F,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway
p30_cfg1_s45,0.3,1,45,14.19101941747573,51.17499999999999,22.892005076142134,0.04924,0.1136,A,A,walkway,0.7833333333333334,2.9642857142857144,A,D,waiting,0.2583333333333333,0.75,A,D,walkway,0.2722222222222222,1.1666666666666667,A,E,walkway,0.0144444444444444,0.0333333333333333,A,A,walkway,0.5499999999999999,1.4166666666666667,C,E,walkway,1.616666666666667,5.5,E,F,walkway,0.0244444444444444,0.1,A,A,walkway
p30_cfg1_s46,0.3,1,46,16.31611764705882,60.21999999999998,24.42942643391521,0.0558533333333333,0.1264,A,A,walkway,0.9797619047619048,3.2142857142857144,B,D,waiting,0.2631944444444444,0.75,A,D,walkway,0.2888888888888888,1.1666666666666667,A,E,walkway,0.0138888888888888,0.0333333333333333,A,A,walkway,0.6291666666666667,1.375,C,E,walkway,1.744444444444445,5.0,E,F,walkway,0.0261111111111111,0.0666666666666666,A,A,walkway
p30_cfg2_s42,0.3,2,42,10.588369304556355,29.390000000000008,23.83872901678657,0.04716,0.1224,A,A,walkway,0.6047619047619047,2.357142857142857,A,D,waiting,0.3638888888888889,0.9583333333333334,B,D,walkway,0.45,1.5,C,E,walkway,0.0172222222222222,0.0333333333333333,A,A,walkway,0.4645833333333333,1.25,C,E,walkway,1.772222222222222,4.833333333333333,E,F,walkway,0.0222222222222222,0.0666666666666666,A,A,walkway
p30_cfg2_s43,0.3,2,43,11.580633802816898,29.7125,23.651442307692307,0.0496133333333333,0.12,A,A,walkway,0.6678571428571428,2.75,A,D,waiting,0.3805555555555555,0.9166666666666666,B,D,walkway,0.425,1.6666666666666667,C,E,walkway,0.02,0.0333333333333333,A,A,walkway,0.4708333333333334,1.2083333333333333,C,E,walkway,1.847222222222222,5.166666666666667,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg2_s44,0.3,2,44,9.493979057591622,24.847499999999997,22.18651832460733,0.0414533333333333,0.1128,A,A,walkway,0.5142857142857142,2.4642857142857144,A,D,waiting,0.3381944444444444,0.9583333333333334,B,D,walkway,0.375,1.3333333333333333,B,E,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4152777777777777,1.1666666666666667,C,E,walkway,1.3305555555555555,4.166666666666667,E,F,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway
p30_cfg2_s45,0.3,2,45,9.464891041162227,21.989999999999984,23.58459657701712,0.04536,0.1128,A,A,walkway,0.5446428571428572,2.321428571428572,A,D,waiting,0.35625,0.9583333333333334,B,D,walkway,0.4138888888888888,1.5,C,E,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway,0.4527777777777777,1.2916666666666667,C,E,walkway,1.8138888888888889,5.333333333333333,E,F,walkway,0.0261111111111111,0.0666666666666666,A,A,walkway
p30_cfg2_s46,0.3,2,46,10.18663594470046,27.43999999999997,23.83006993006993,0.0488933333333333,0.1248,A,A,walkway,0.6119047619047618,2.392857142857143,A,D,waiting,0.3756944444444444,0.9583333333333334,B,D,walkway,0.4833333333333334,1.6666666666666667,C,E,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway,0.4868055555555556,1.25,C,E,walkway,1.8500000000000003,5.5,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg3_s42,0.3,3,42,17.620023980815347,50.08,20.31971153846154,0.0502533333333333,0.1232,A,A,walkway,0.943452380952381,3.357142857142857,B,E,waiting,0.3555555555555555,0.875,B,D,walkway,0.3055555555555555,1.0,B,D,walkway,0.0211111111111111,0.0333333333333333,A,A,walkway,0.4375,1.125,C,E,walkway,1.2444444444444445,3.6666666666666665,E,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
p30_cfg3_s43,0.3,3,43,18.46701877934272,54.8,20.04698795180723,0.0517066666666666,0.1224,A,A,walkway,1.0142857142857142,3.642857142857143,C,E,waiting,0.3625,0.7916666666666666,B,D,walkway,0.3888888888888889,1.1666666666666667,B,E,walkway,0.0183333333333333,0.0333333333333333,A,A,walkway,0.4458333333333334,1.2083333333333333,C,E,walkway,1.0888888888888888,3.8333333333333335,E,F,walkway,0.0205555555555555,0.0333333333333333,A,A,walkway
p30_cfg3_s44,0.3,3,44,13.91125654450262,47.01499999999998,18.603026315789474,0.0419333333333333,0.1128,A,A,walkway,0.7160714285714286,3.071428571428572,A,D,waiting,0.3180555555555555,0.7916666666666666,B,D,walkway,0.3,1.0,A,D,walkway,0.015,0.0333333333333333,A,A,walkway,0.3770833333333332,1.0,B,D,walkway,0.8944444444444443,3.0,D,F,walkway,0.0188888888888888,0.0333333333333333,A,A,walkway
p30_cfg3_s45,0.3,3,45,12.675786924939468,38.43000000000001,20.519370460048425,0.0457733333333333,0.1104,A,A,walkway,0.7130952380952382,2.5357142857142856,A,D,waiting,0.3444444444444444,0.875,B,D,walkway,0.3583333333333333,1.3333333333333333,B,E,walkway,0.0183333333333333,0.0333333333333333,A,A,walkway,0.4347222222222222,1.125,C,E,walkway,1.2472222222222222,3.8333333333333335,E,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
p30_cfg3_s46,0.3,3,46,16.033294930875574,46.3175,20.49338747099768,0.05028,0.1216,A,A,walkway,0.8988095238095237,3.1785714285714284,B,D,waiting,0.3548611111111111,0.9166666666666666,B,D,walkway,0.3361111111111111,1.0,B,D,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4395833333333333,1.125,C,E,walkway,1.413888888888889,4.5,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg4_s42,0.3,4,42,26.145487804878048,70.82749999999999,17.531585677749362,0.0553066666666666,0.1248,A,A,walkway,1.392261904761905,3.5357142857142856,C,E,waiting,0.2743055555555556,0.8333333333333334,A,D,walkway,0.2305555555555555,1.0,A,D,walkway,0.0144444444444444,0.0333333333333333,A,A,walkway,0.4465277777777777,1.0416666666666667,C,E,walkway,0.7555555555555554,2.833333333333333,D,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
p30_cfg4_s43,0.3,4,43,25.113125,70.8725,17.61413612565445,0.0566933333333333,0.1264,A,A,walkway,1.4809523809523808,3.857142857142857,D,E,waiting,0.2708333333333332,0.8333333333333334,A,D,walkway,0.2444444444444444,1.0,A,D,walkway,0.0161111111111111,0.0333333333333333,A,A,walkway,0.4062499999999999,0.9583333333333334,C,D,walkway,0.8305555555555555,3.1666666666666665,D,F,walkway,0.02,0.0333333333333333,A,A,walkway
p30_cfg4_s44,0.3,4,44,23.189814814814813,65.445,16.713223140495867,0.04796,0.1128,A,A,walkway,1.136904761904762,3.107142857142857,C,D,waiting,0.2652777777777778,0.75,A,D,walkway,0.2249999999999999,1.0,A,D,walkway,0.0133333333333333,0.0333333333333333,A,A,walkway,0.3993055555555555,0.9583333333333334,B,D,walkway,0.575,1.8333333333333333,C,E,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway
p30_cfg4_s45,0.3,4,45,25.71979949874687,71.165,15.962698412698412,0.0539333333333333,0.116,A,A,walkway,1.3934523809523809,3.571428571428572,C,E,waiting,0.2472222222222222,0.7083333333333334,A,D,walkway,0.1944444444444444,1.0,A,D,walkway,0.0144444444444444,0.0333333333333333,A,A,walkway,0.4000000000000001,0.7916666666666666,C,D,walkway,0.6305555555555554,1.8333333333333333,C,E,walkway,0.0222222222222222,0.0333333333333333,A,A,walkway
