scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,avg_esc_wait_precise,p95_esc_wait_precise,n_esc_precise,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3a_avg_density,zone3a_max_density,zone3b_avg_density,zone3b_max_density,zone3c_avg_density,zone3c_max_density,zone4a_avg_density,zone4a_max_density,zone4b_avg_density,zone4b_max_density,zone4c_avg_density,zone4c_max_density
p10_cfg2_s42,0.1,2,42,794,794,53.21921618204805,83.05000000000001,791,23.2367758186398,57.90499999999998,23.523514538558793,30.07499999999996,19.4881163084703,26.225,791,330,461,0.41719342604298354,0.0542,0.1272,1.1455357142857143,4.0,0.37986111111111115,0.8333333333333334,0.075,0.5,0.032777777777777774,0.06666666666666667,0.5315972222222222,1.0833333333333333,0.5638888888888889,1.8333333333333333,0.04444444444444444,0.06666666666666667
p10_cfg1_s42,0.1,1,42,794,794,49.185768261964746,71.23749999999998,794,14.818765743073046,34.10249999999999,26.407808564231747,36.6,22.42418136020152,32.18500000000002,794,361,433,0.45465994962216627,0.05006666666666667,0.1248,0.7535714285714287,2.7857142857142856,0.4232638888888889,1.0416666666666667,0.24861111111111112,1.5,0.035,0.06666666666666667,0.5645833333333333,1.2916666666666667,0.7597222222222223,1.8333333333333333,0.041666666666666664,0.06666666666666667
p10_cfg1_s46,0.1,1,46,811,811,49.155415617128476,75.11999999999999,794,14.807213316892726,38.72500000000002,26.865931989924444,40.43499999999998,22.91998746867169,36.36,798,358,436,0.4508816120906801,0.05152,0.1304,0.7806547619047619,3.2142857142857144,0.41701388888888885,1.0,0.1986111111111111,1.0,0.03333333333333333,0.06666666666666667,0.6225694444444444,1.5,0.7999999999999999,1.8333333333333333,0.04138888888888889,0.06666666666666667
p10_cfg1_s45,0.1,1,45,857,857,50.551730310262535,72.69499999999998,838,17.529929988331386,40.00999999999999,25.955847255369935,35.0225,21.96252969121141,30.597499999999965,842,394,444,0.4701670644391408,0.05602000000000001,0.1312,0.9541666666666666,3.892857142857143,0.47361111111111115,1.0416666666666667,0.2972222222222222,1.1666666666666667,0.03666666666666667,0.06666666666666667,0.5677083333333334,1.25,0.7444444444444445,1.8333333333333333,0.042499999999999996,0.06666666666666667
p10_cfg1_s43,0.1,1,43,823,823,50.586618004866196,75.85,822,14.446719319562574,32.995,28.102615571776166,41.1425,24.144410692588103,37.09499999999997,823,373,449,0.4537712895377129,0.05347999999999999,0.1296,0.7639880952380952,3.0,0.43333333333333335,0.9583333333333334,0.2777777777777778,1.5,0.03611111111111111,0.06666666666666667,0.6625,1.375,0.876388888888889,2.0,0.043055555555555555,0.06666666666666667
p10_cfg1_s44,0.1,1,44,807,807,49.352190721649485,72.01250000000002,776,14.148203221809167,34.299999999999955,27.904510309278372,42.47500000000004,23.920512820512833,38.2525,780,350,426,0.45103092783505155,0.05196,0.1376,0.7342261904761905,3.392857142857143,0.40902777777777777,1.0416666666666667,0.2041666666666667,1.5,0.034722222222222224,0.06666666666666667,0.6854166666666667,1.5,0.8083333333333332,2.0,0.04083333333333334,0.06666666666666667
p10_cfg2_s43,0.1,2,43,823,823,53.839434889434905,81.25249999999998,814,24.364459295261234,56.429999999999986,23.37757985257986,29.40000000000009,19.416829865361084,25.5,817,337,477,0.414004914004914,0.057133333333333335,0.1304,1.231845238095238,3.9642857142857144,0.38506944444444446,0.7916666666666666,0.09444444444444444,0.6666666666666666,0.030000000000000002,0.06666666666666667,0.5725694444444445,1.125,0.5569444444444445,1.8333333333333333,0.04611111111111111,0.06666666666666667
p10_cfg2_s44,0.1,2,44,807,799,51.263178807947035,75.84999999999998,755,22.511375,55.86500000000001,24.013907284768223,30.265,20.036213720316635,26.407500000000073,758,315,440,0.41721854304635764,0.05461333333333333,0.1376,1.1514880952380953,4.535714285714286,0.3659722222222222,0.8333333333333334,0.08472222222222221,0.6666666666666666,0.030555555555555555,0.06666666666666667,0.5361111111111111,1.0833333333333333,0.6513888888888889,1.8333333333333333,0.041666666666666664,0.06666666666666667
p10_cfg3_s42,0.1,3,42,794,787,59.815303430079176,98.2,758,35.037911392405064,77.7775,20.688984168865446,24.257499999999993,16.67914473684211,20.352500000000017,760,373,385,0.4920844327176781,0.06177333333333333,0.1312,1.6964285714285714,4.571428571428571,0.4201388888888889,0.7083333333333334,0.08472222222222221,0.3333333333333333,0.035,0.06666666666666667,0.42673611111111115,0.7916666666666666,0.10833333333333334,0.6666666666666666,0.035833333333333335,0.06666666666666667
p10_cfg2_s46,0.1,2,46,811,811,52.4904761904762,82.32999999999997,777,23.651787916152895,58.7,23.699292149292166,30.45,19.69596153846155,26.549999999999986,780,331,446,0.425997425997426,0.055406666666666674,0.1328,1.188392857142857,4.071428571428571,0.3795138888888889,0.9583333333333334,0.11388888888888889,0.8333333333333334,0.0325,0.06666666666666667,0.5434027777777778,1.125,0.5444444444444444,1.6666666666666667,0.042222222222222223,0.06666666666666667
p10_cfg3_s43,0.1,3,43,823,811,63.18625954198475,103.10000000000002,786,37.93777641277641,82.36749999999999,21.155788804071253,25.25,17.13172588832488,21.132499999999993,788,383,403,0.4872773536895674,0.06770666666666668,0.1384,1.9050595238095238,4.642857142857143,0.44097222222222227,0.75,0.09583333333333333,0.6666666666666666,0.035833333333333335,0.06666666666666667,0.4600694444444444,0.7916666666666666,0.10972222222222222,0.5,0.03777777777777778,0.06666666666666667
p10_cfg2_s45,0.1,2,45,857,857,54.52657384987895,81.9375,826,24.561843640606767,55.66999999999997,24.841464891041174,33.28750000000001,20.916948130277454,29.180000000000003,829,344,482,0.41646489104116224,0.06076,0.1336,1.2916666666666665,4.0,0.39340277777777777,0.875,0.09583333333333333,0.8333333333333334,0.033888888888888885,0.06666666666666667,0.611111111111111,1.2916666666666667,0.775,1.8333333333333333,0.04583333333333333,0.06666666666666667
p10_cfg3_s44,0.1,3,44,807,759,59.0307220708447,93.81749999999998,734,34.16843832020997,75.295,20.864032697547696,25.349999999999994,16.841440217391316,21.162500000000065,736,363,371,0.494550408719346,0.06316000000000001,0.1408,1.7788690476190474,4.892857142857143,0.40972222222222227,0.7916666666666666,0.08611111111111112,0.5,0.035,0.06666666666666667,0.4149305555555556,0.7916666666666666,0.11527777777777777,0.8333333333333334,0.035833333333333335,0.06666666666666667
p10_cfg4_s42,0.1,4,42,794,718,91.34009971509973,154.62249999999997,702,68.14098474341193,130.9,21.070584045584052,25.297500000000007,17.10390625000001,21.384999999999984,704,258,444,0.36752136752136755,0.09387333333333334,0.152,3.2904761904761908,5.678571428571429,0.28541666666666665,0.5416666666666666,0.03333333333333333,0.3333333333333333,0.025277777777777777,0.06666666666666667,0.517361111111111,0.8333333333333334,0.11944444444444445,0.6666666666666666,0.043611111111111114,0.06666666666666667
p10_cfg4_s43,0.1,4,43,823,722,89.42457264957265,157.1775,702,66.27289073305671,133.88500000000002,20.819301994302002,25.0,16.870028409090914,20.89249999999998,704,263,439,0.37464387464387466,0.09574666666666667,0.1632,3.3660714285714284,6.178571428571429,0.2923611111111111,0.625,0.036111111111111115,0.5,0.025833333333333333,0.06666666666666667,0.5086805555555556,0.7916666666666666,0.10555555555555556,0.5,0.04,0.06666666666666667
p10_cfg4_s44,0.1,4,44,807,701,81.1341911764706,137.12499999999997,680,57.325960170697,115.13999999999997,20.768529411764714,24.805000000000007,16.776061493411426,20.70000000000004,683,250,430,0.36764705882352944,0.08552666666666667,0.1648,2.8985119047619046,6.25,0.2743055555555555,0.5833333333333334,0.03194444444444445,0.3333333333333333,0.023611111111111114,0.06666666666666667,0.49895833333333334,0.7916666666666666,0.11388888888888889,0.5,0.04055555555555555,0.06666666666666667
p10_cfg3_s46,0.1,3,46,811,782,58.269123505976104,103.84000000000002,753,33.52490421455939,82.235,20.790106241699878,24.800000000000033,16.815033112582793,20.899999999999995,755,368,385,0.48871181938911024,0.06227333333333333,0.136,1.7113095238095237,4.678571428571429,0.41250000000000003,0.7083333333333334,0.08750000000000001,0.6666666666666666,0.036944444444444446,0.06666666666666667,0.42430555555555555,0.8333333333333334,0.13055555555555556,0.6666666666666666,0.03666666666666667,0.06666666666666667
p10_cfg3_s45,0.1,3,45,857,827,58.5575719649562,97.25,799,33.526265060240966,75.40499999999994,20.82972465581978,25.04999999999996,16.893757802746574,21.05000000000001,801,396,403,0.4956195244055069,0.06635333333333333,0.1336,1.8104166666666668,4.535714285714286,0.4513888888888889,0.8333333333333334,0.08472222222222221,0.3333333333333333,0.03638888888888889,0.06666666666666667,0.465625,0.9166666666666666,0.10138888888888888,0.6666666666666666,0.03888888888888889,0.06666666666666667
p10_cfg4_s45,0.1,4,45,857,712,97.182183908046,167.88750000000002,696,74.09971988795517,147.32250000000005,21.114439655172422,25.337500000000006,17.161461318051582,21.549999999999986,698,249,447,0.3577586206896552,0.10741333333333335,0.1968,3.8964285714285714,7.571428571428571,0.27743055555555557,0.5833333333333334,0.027777777777777776,0.3333333333333333,0.024722222222222222,0.06666666666666667,0.5277777777777778,0.7916666666666666,0.12916666666666668,0.6666666666666666,0.041666666666666664,0.06666666666666667
p10_cfg5_s42,0.1,5,42,794,507,151.341784989858,287.64,493,130.04852362204724,264.53000000000003,19.963488843813394,23.700000000000028,16.045748987854253,19.899999999999977,494,238,255,0.4827586206896552,0.16087333333333334,0.2776,6.50952380952381,11.75,0.2590277777777778,0.5416666666666666,0.027777777777777776,0.3333333333333333,0.024444444444444442,0.06666666666666667,0.2833333333333333,0.5833333333333334,0.030555555555555555,0.3333333333333333,0.023611111111111114,0.06666666666666667
p10_cfg5_s44,0.1,5,44,807,522,137.32027559055118,250.6775,508,116.12390057361377,234.78999999999996,20.036318897637802,23.900000000000006,16.193039215686284,20.25,510,248,260,0.4881889763779528,0.14646666666666666,0.2864,5.851190476190476,11.892857142857142,0.27881944444444445,0.5,0.024999999999999998,0.3333333333333333,0.025277777777777777,0.06666666666666667,0.2878472222222222,0.5833333333333334,0.019444444444444445,0.16666666666666666,0.02388888888888889,0.06666666666666667
p10_cfg5_s43,0.1,5,43,823,516,151.55717131474105,291.87500000000006,502,130.12301740812381,266.65,19.956673306772917,23.69999999999999,16.132206759443342,19.944999999999993,503,260,242,0.5179282868525896,0.16779333333333335,0.3032,6.789880952380953,12.607142857142858,0.2913194444444444,0.5,0.034722222222222224,0.3333333333333333,0.02333333333333333,0.06666666666666667,0.27152777777777776,0.5416666666666666,0.018055555555555557,0.3333333333333333,0.02222222222222222,0.06666666666666667
p10_cfg4_s46,0.1,4,46,811,712,92.54131693198265,154.47500000000002,691,69.78265734265734,132.47999999999996,20.76910274963821,24.80000000000001,16.811054913294804,21.172500000000017,692,255,436,0.36903039073806077,0.09656,0.1656,3.432440476190476,5.928571428571429,0.28194444444444444,0.7083333333333334,0.020833333333333332,0.3333333333333333,0.025,0.06666666666666667,0.5052083333333334,0.8333333333333334,0.10555555555555556,0.6666666666666666,0.04138888888888889,0.06666666666666667
p10_cfg5_s45,0.1,5,45,857,492,154.839248434238,298.05,479,133.98218623481785,273.8375,19.862943632567855,23.75,15.908523908523913,19.950000000000003,481,238,241,0.4968684759916493,0.17832666666666666,0.3464,7.296726190476191,14.714285714285714,0.26805555555555555,0.5833333333333334,0.024999999999999998,0.3333333333333333,0.021666666666666667,0.06666666666666667,0.25625000000000003,0.5416666666666666,0.029166666666666664,0.3333333333333333,0.02333333333333333,0.06666666666666667
p10_cfg5_s46,0.1,5,46,811,507,163.57510121457491,325.0675,494,141.50620078740158,300.28249999999997,19.794129554655875,23.69999999999999,15.886969696969702,19.73000000000001,495,248,246,0.5020242914979757,0.16802666666666666,0.2984,6.813095238095238,12.5,0.26944444444444443,0.5416666666666666,0.034722222222222224,0.5,0.024722222222222222,0.06666666666666667,0.2652777777777778,0.625,0.030555555555555555,0.16666666666666666,0.02638888888888889,0.06666666666666667
p10_cfg6_s42,0.1,6,42,794,293,195.3598245614035,445.5300000000001,285,160.64336734693876,389.80999999999995,19.88596491228071,23.75,16.086666666666673,20.200000000000003,285,50,235,0.17543859649122806,0.2385733333333333,0.4312,9.394642857142857,18.428571428571427,0.05416666666666667,0.2916666666666667,0.001388888888888889,0.16666666666666666,0.005277777777777778,0.06666666666666667,0.26180555555555557,0.5,0.044444444444444446,0.5,0.02222222222222222,0.06666666666666667
p10_cfg6_s46,0.1,6,46,811,303,186.6333898305085,454.63500000000005,295,153.7167763157895,391.90999999999997,19.403389830508484,23.699999999999992,15.605932203389838,19.850000000000012,295,54,241,0.18305084745762712,0.23156,0.432,9.047619047619047,18.321428571428573,0.05416666666666667,0.375,0.006944444444444444,0.16666666666666666,0.005,0.03333333333333333,0.2638888888888889,0.625,0.034722222222222224,0.5,0.02388888888888889,0.06666666666666667
p10_cfg6_s44,0.1,6,44,807,294,191.1365853658537,404.35,287,159.53169491525426,363.88499999999993,20.358188153310113,24.204999999999988,16.576215277777784,20.55000000000001,288,52,235,0.18118466898954705,0.22414666666666666,0.4432,8.71220238095238,18.535714285714285,0.05694444444444444,0.4166666666666667,0.002777777777777778,0.16666666666666666,0.005,0.06666666666666667,0.26840277777777777,0.625,0.027777777777777776,0.5,0.022500000000000003,0.06666666666666667
p10_cfg6_s43,0.1,6,43,823,279,201.8314338235294,447.24,272,167.33821428571432,384.5150000000001,19.802022058823535,23.69999999999999,15.964835164835167,19.760000000000034,273,36,236,0.1323529411764706,0.25108,0.4608,9.836904761904762,19.821428571428573,0.03715277777777778,0.25,0.0,0.0,0.0033333333333333335,0.03333333333333333,0.2625,0.5416666666666666,0.030555555555555555,0.3333333333333333,0.02277777777777778,0.06666666666666667
p10_cfg6_s45,0.1,6,45,857,282,205.965523465704,453.5499999999999,277,168.91042402826855,392.89500000000004,19.60000000000001,23.810000000000006,15.772202166064988,20.23000000000001,277,43,234,0.1552346570397112,0.25538,0.4904,9.919940476190476,20.714285714285715,0.043750000000000004,0.20833333333333334,0.002777777777777778,0.16666666666666666,0.0044444444444444444,0.03333333333333333,0.25729166666666664,0.5,0.018055555555555557,0.3333333333333333,0.020277777777777777,0.06666666666666667
p30_cfg1_s42,0.3,1,42,794,794,51.9686224489796,97.14249999999998,784,15.945780856423168,55.96999999999988,28.68010204081634,43.41999999999997,24.76952926208652,39.67500000000002,786,280,504,0.35714285714285715,0.05330666666666667,0.1272,0.8232142857142858,3.0714285714285716,0.31875000000000003,1.0416666666666667,0.2111111111111111,1.6666666666666667,0.02611111111111111,0.06666666666666667,0.7927083333333332,1.6666666666666667,0.7875,1.8333333333333333,0.04833333333333333,0.06666666666666667
p30_cfg1_s43,0.3,1,43,823,823,51.930334987593056,90.125,806,14.795868772782498,45.89499999999998,30.06681141439207,48.01250000000002,26.2068688118812,44.33250000000002,808,304,502,0.3771712158808933,0.05550666666666667,0.1248,0.7848214285714287,3.0357142857142856,0.3458333333333334,1.0,0.1763888888888889,1.0,0.028333333333333332,0.06666666666666667,0.876388888888889,1.8333333333333333,0.9319444444444445,2.0,0.0475,0.06666666666666667
p30_cfg1_s44,0.3,1,44,807,806,51.228385416666676,90.52999999999999,768,15.092317224287477,52.44499999999994,29.182031250000012,44.982500000000016,25.317142857142862,41.51,770,285,483,0.37109375,0.0544,0.1368,0.7892857142857144,3.5357142857142856,0.3350694444444444,0.875,0.10833333333333334,0.8333333333333334,0.02777777777777778,0.06666666666666667,0.8458333333333333,1.875,0.8402777777777778,2.0,0.04583333333333333,0.06666666666666667
p30_cfg1_s46,0.3,1,46,811,799,50.704265091863526,95.7425,762,15.745869837296613,57.25499999999999,28.55603674540684,45.39250000000008,24.714725130890066,41.65000000000008,764,281,481,0.36876640419947504,0.054773333333333334,0.1328,0.8624999999999999,3.3214285714285716,0.315625,0.9166666666666666,0.14305555555555555,1.1666666666666667,0.026944444444444444,0.06666666666666667,0.8201388888888889,1.8333333333333333,0.813888888888889,2.0,0.04555555555555556,0.06666666666666667
p30_cfg1_s45,0.3,1,45,857,853,51.979176755447945,92.97500000000001,826,15.278898007033991,50.85999999999997,30.243825665859575,48.73749999999998,26.39625603864735,45.04749999999999,828,319,507,0.38619854721549635,0.058660000000000004,0.1312,0.8562500000000001,3.0,0.3732638888888889,1.125,0.19305555555555556,1.5,0.030555555555555555,0.06666666666666667,0.8954861111111111,1.875,0.938888888888889,2.1666666666666665,0.04861111111111111,0.06666666666666667
p30_cfg2_s42,0.3,2,42,794,794,48.768387909319905,73.88749999999997,794,10.885579345088159,25.08499999999998,29.488916876574322,46.36999999999997,25.69256926952142,42.684999999999995,794,341,453,0.42947103274559195,0.049846666666666664,0.1304,0.5803571428571429,2.5714285714285716,0.4263888888888889,1.2083333333333333,0.3111111111111111,1.8333333333333333,0.03305555555555555,0.06666666666666667,0.7006944444444444,1.75,0.8624999999999999,2.0,0.04416666666666667,0.06666666666666667
p30_cfg2_s43,0.3,2,43,823,823,50.09222357229649,78.08000000000001,823,12.518955042527336,32.14000000000008,29.238821385176198,44.18999999999999,25.39222357229648,40.489999999999995,823,359,464,0.4362089914945322,0.05295333333333333,0.1272,0.6761904761904762,2.607142857142857,0.4371527777777778,1.1666666666666667,0.3347222222222222,1.8333333333333333,0.03361111111111111,0.06666666666666667,0.7111111111111111,1.7083333333333333,0.8930555555555556,1.8333333333333333,0.04444444444444444,0.06666666666666667
p30_cfg3_s42,0.3,3,42,794,794,49.29822784810127,76.68249999999998,790,15.796788413098234,45.06999999999998,25.98537974683545,38.160000000000025,22.193236409608097,33.82500000000002,791,359,431,0.4544303797468354,0.05042666666666667,0.128,0.8101190476190476,3.0714285714285716,0.42430555555555555,1.0833333333333333,0.17361111111111113,1.3333333333333333,0.033888888888888885,0.06666666666666667,0.5770833333333333,1.625,0.7333333333333334,1.8333333333333333,0.04055555555555555,0.06666666666666667
p30_cfg2_s44,0.3,2,44,807,807,48.14108974358976,72.70750000000001,780,11.777757125154892,31.384999999999987,28.44833333333335,44.055000000000064,24.706777493606143,40.49249999999999,782,354,426,0.45384615384615384,0.05072666666666666,0.1376,0.631547619047619,2.9642857142857144,0.42465277777777777,1.125,0.31666666666666665,1.6666666666666667,0.03305555555555555,0.06666666666666667,0.7034722222222222,1.7916666666666667,0.7805555555555556,2.0,0.04138888888888889,0.06666666666666667
p30_cfg2_s46,0.3,2,46,811,811,47.96291139240507,75.57750000000001,790,11.599136868064116,33.05,28.463227848101273,45.099999999999994,24.65435606060607,41.51750000000001,792,346,444,0.4379746835443038,0.05053333333333333,0.1296,0.6300595238095238,2.9285714285714284,0.4152777777777778,1.0416666666666667,0.2708333333333333,1.1666666666666667,0.03305555555555555,0.06666666666666667,0.701736111111111,1.6666666666666667,0.8430555555555556,2.1666666666666665,0.041944444444444444,0.06666666666666667
p30_cfg3_s43,0.3,3,43,823,823,49.50695970695972,77.875,819,16.29738760631835,50.85499999999997,25.87851037851039,39.400000000000006,22.154700854700863,35.60500000000002,819,372,447,0.4542124542124542,0.052520000000000004,0.1256,0.8669642857142856,3.392857142857143,0.43506944444444445,1.0,0.23611111111111113,1.1666666666666667,0.035277777777777776,0.06666666666666667,0.5902777777777778,1.4583333333333333,0.7027777777777778,1.8333333333333333,0.04277777777777778,0.06666666666666667
p30_cfg2_s45,0.3,2,45,857,857,50.017344497607674,75.70000000000002,836,12.468903150525087,30.419999999999973,29.574760765550252,45.300000000000026,25.763186157517907,42.107499999999966,838,373,463,0.4461722488038278,0.05588666666666667,0.132,0.7029761904761905,2.6785714285714284,0.4479166666666667,1.125,0.37083333333333335,1.6666666666666667,0.03611111111111111,0.06666666666666667,0.7756944444444445,1.7916666666666667,0.9319444444444445,2.0,0.04444444444444444,0.06666666666666667
p30_cfg3_s44,0.3,3,44,807,800,47.94539559014268,73.97500000000002,771,16.50361596009975,53.28749999999994,25.52295719844359,36.0,21.747739018087866,32.53499999999998,774,358,413,0.46433203631647213,0.05072666666666666,0.136,0.8720238095238095,3.7857142857142856,0.41909722222222223,1.0833333333333333,0.23750000000000002,1.5,0.03333333333333333,0.06666666666666667,0.546875,1.2916666666666667,0.6319444444444444,1.8333333333333333,0.03972222222222222,0.06666666666666667
p30_cfg4_s42,0.3,4,42,794,786,54.38350785340315,96.93250000000002,764,25.937072243346005,74.62999999999998,23.34037958115184,31.29250000000001,19.52966101694916,27.599999999999966,767,299,465,0.3913612565445026,0.05644,0.1288,1.3020833333333335,3.5,0.3524305555555556,1.0833333333333333,0.09999999999999999,0.8333333333333334,0.028611111111111108,0.06666666666666667,0.5572916666666666,1.25,0.45416666666666666,1.8333333333333333,0.04472222222222222,0.06666666666666667
p30_cfg3_s45,0.3,3,45,857,857,51.352710843373494,80.27749999999997,830,21.979871645274212,59.460000000000036,23.865963855421697,32.000000000000014,19.99562350119905,28.399999999999977,834,388,442,0.4674698795180723,0.057313333333333334,0.1312,1.1839285714285714,3.7142857142857144,0.4451388888888889,0.9166666666666666,0.1875,1.1666666666666667,0.03666666666666667,0.06666666666666667,0.5385416666666667,1.2083333333333333,0.5638888888888889,1.8333333333333333,0.041944444444444444,0.06666666666666667
p30_cfg4_s43,0.3,4,43,823,811,56.28612167300381,98.85999999999999,789,28.76687192118227,77.81249999999996,22.829657794676812,30.479999999999976,19.034217171717174,26.85000000000001,792,315,474,0.39923954372623577,0.06080666666666667,0.1248,1.4985119047619049,3.607142857142857,0.35381944444444446,0.875,0.08333333333333333,0.8333333333333334,0.030833333333333334,0.06666666666666667,0.5704861111111111,1.2916666666666667,0.45,1.8333333333333333,0.04416666666666667,0.06666666666666667
p30_cfg4_s44,0.3,4,44,807,760,52.704945799458,87.15749999999998,738,24.646657929226738,69.945,23.493089430894315,32.06499999999999,19.751689189189193,28.352500000000006,740,298,440,0.4037940379403794,0.057313333333333334,0.1416,1.3705357142857142,4.321428571428571,0.33229166666666665,1.0,0.09166666666666667,1.0,0.02666666666666667,0.06666666666666667,0.5361111111111111,1.25,0.5458333333333333,1.8333333333333333,0.042499999999999996,0.06666666666666667
p30_cfg3_s46,0.3,3,46,811,811,49.34759797724402,80.17500000000003,791,16.40524044389642,49.900000000000006,26.157332490518346,41.85000000000002,22.388853904282126,38.302500000000016,794,370,421,0.46776232616940583,0.0522,0.1336,0.8613095238095239,3.2142857142857144,0.42743055555555554,1.0416666666666667,0.26805555555555555,1.5,0.035555555555555556,0.06666666666666667,0.6006944444444444,1.5,0.6527777777777778,1.8333333333333333,0.04,0.06666666666666667
p30_cfg4_s45,0.3,4,45,857,834,56.22373300370828,98.19999999999995,809,28.231997607655497,77.5125,23.446600741656376,33.43000000000003,19.66447044334976,29.517499999999995,812,320,489,0.39555006180469715,0.06361333333333333,0.1328,1.5541666666666667,3.642857142857143,0.3586805555555555,1.0,0.1277777777777778,1.3333333333333333,0.03111111111111111,0.06666666666666667,0.5989583333333334,1.375,0.5222222222222223,1.8333333333333333,0.04805555555555555,0.06666666666666667
