scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3_avg_density,zone3_max_density,zone4_avg_density,zone4_max_density
p10_cfg1_s42,0.1,1,42,417,417,46.056038647342994,71.585,414,14.326978417266188,34.93999999999998,23.02657004830918,36.56999999999998,188,226,0.45410628019323673,0.04937333333333334,0.12,0.7785714285714286,3.1785714285714284,0.08888888888888888,0.16666666666666666,0.10555555555555557,0.16666666666666666
p10_cfg1_s43,0.1,1,43,426,426,47.51485849056604,72.955,424,15.21866197183099,39.90000000000003,23.97040094339623,41.04749999999999,189,235,0.44575471698113206,0.051826666666666674,0.1232,0.8327380952380953,3.607142857142857,0.09166666666666669,0.16666666666666666,0.10833333333333335,0.16666666666666666
p10_cfg1_s44,0.1,1,44,382,382,43.52853403141361,66.32249999999999,382,10.378795811518325,27.392500000000005,23.601308900523563,41.29250000000001,173,209,0.45287958115183247,0.04252,0.1136,0.5511904761904761,2.357142857142857,0.07222222222222222,0.16666666666666666,0.1027777777777778,0.16666666666666666
p10_cfg1_s45,0.1,1,45,413,413,46.1680387409201,70.54999999999998,413,14.726513317191282,35.329999999999956,23.300847457627118,34.960000000000015,194,219,0.46973365617433416,0.04892,0.116,0.7892857142857144,2.9642857142857144,0.08611111111111111,0.16666666666666666,0.10555555555555557,0.16666666666666666
p10_cfg1_s46,0.1,1,46,434,434,46.34251152073733,71.85749999999997,434,16.2323732718894,37.75249999999998,21.91693548387097,32.5675,206,228,0.47465437788018433,0.05157333333333334,0.1248,0.8982142857142856,3.2857142857142856,0.09444444444444446,0.16666666666666666,0.10555555555555557,0.16666666666666666
p10_cfg2_s42,0.1,2,42,417,417,49.95514705882354,77.7325,408,22.21282973621103,50.89000000000001,21.551960784313728,30.382500000000025,173,235,0.42401960784313725,0.05413333333333334,0.1288,1.1517857142857144,3.8214285714285716,0.07222222222222222,0.16666666666666666,0.10833333333333335,0.16666666666666666
p10_cfg2_s43,0.1,2,43,426,426,48.36131386861314,76.02500000000002,411,19.28075117370892,47.13749999999999,22.81873479318735,35.125000000000014,178,233,0.43309002433090027,0.053893333333333335,0.124,1.0404761904761906,3.75,0.08611111111111111,0.16666666666666666,0.11111111111111113,0.16666666666666666
p10_cfg2_s44,0.1,2,44,382,382,46.70358090185676,70.63,377,20.174869109947643,48.724999999999994,19.734615384615388,26.560000000000006,160,217,0.4244031830238727,0.04598666666666666,0.1144,0.9708333333333332,3.75,0.07222222222222222,0.16666666666666666,0.10555555555555557,0.16666666666666666
p10_cfg2_s45,0.1,2,45,413,413,48.27593984962406,74.27,399,23.077723970944312,51.220000000000006,19.567418546365918,25.905000000000005,170,229,0.42606516290726815,0.05177333333333333,0.1152,1.1839285714285712,3.607142857142857,0.08055555555555555,0.16666666666666666,0.1027777777777778,0.16666666666666666
p10_cfg2_s46,0.1,2,46,434,434,50.436956521739134,78.9225,414,23.64573732718894,54.484999999999985,21.291545893719814,31.8025,178,236,0.42995169082125606,0.05737333333333334,0.1272,1.2708333333333333,4.0,0.08055555555555556,0.16666666666666666,0.11111111111111113,0.16666666666666666
p10_cfg3_s42,0.1,3,42,417,416,52.327581863979844,82.5,397,31.142446043165467,69.11000000000001,17.462342569269524,22.220000000000002,194,203,0.48866498740554154,0.05736000000000001,0.128,1.5910714285714287,4.214285714285714,0.1,0.16666666666666666,0.1027777777777778,0.16666666666666666
p10_cfg3_s43,0.1,3,43,426,395,55.68790322580646,87.935,372,35.71608040201005,74.46999999999998,17.245833333333334,21.55000000000001,184,188,0.4946236559139785,0.06426666666666667,0.132,1.968452380952381,4.857142857142857,0.09166666666666669,0.16666666666666666,0.08611111111111111,0.16666666666666666
p10_cfg3_s44,0.1,3,44,382,377,51.411690140845074,82.39999999999999,355,30.634828496042218,67.39999999999998,16.871971830985917,21.699999999999992,178,177,0.5014084507042254,0.05222666666666667,0.1184,1.4440476190476188,4.035714285714286,0.08611111111111111,0.16666666666666666,0.08333333333333334,0.16666666666666666
p10_cfg3_s45,0.1,3,45,413,409,49.81584415584416,80.27999999999997,385,29.239927184466016,65.2625,16.89155844155844,21.14,186,199,0.4831168831168831,0.054413333333333334,0.1176,1.4851190476190477,3.9285714285714284,0.08888888888888889,0.16666666666666666,0.10555555555555557,0.16666666666666666
p10_cfg3_s46,0.1,3,46,434,423,52.63466334164588,88.50000000000001,401,31.882981220657282,71.48750000000001,16.931795511221946,21.39999999999999,193,208,0.48129675810473815,0.06079999999999999,0.128,1.7285714285714284,4.464285714285714,0.09722222222222224,0.16666666666666666,0.08611111111111112,0.16666666666666666
p10_cfg4_s42,0.1,4,42,417,343,69.26071428571429,127.14500000000002,322,49.48699421965318,110.0625,17.038354037267084,21.549999999999997,120,202,0.37267080745341613,0.07896,0.14,2.7446428571428574,5.464285714285714,0.06666666666666667,0.16666666666666666,0.10000000000000002,0.16666666666666666
p10_cfg4_s43,0.1,4,43,426,367,64.362,118.06000000000002,350,43.97560975609756,98.79,17.06085714285714,21.500000000000014,127,223,0.3628571428571429,0.07426666666666666,0.1352,2.4720238095238094,5.035714285714286,0.047222222222222214,0.16666666666666666,0.10833333333333334,0.16666666666666666
p10_cfg4_s44,0.1,4,44,382,328,59.257234726688104,110.67500000000001,311,38.52779456193354,90.825,17.058681672025727,21.175000000000004,113,198,0.3633440514469453,0.06310666666666667,0.1264,2.0178571428571432,4.642857142857143,0.04444444444444443,0.16666666666666666,0.1,0.16666666666666666
p10_cfg4_s45,0.1,4,45,413,352,64.10578635014838,118.99,337,44.30141242937853,99.47249999999998,16.43857566765579,20.879999999999995,125,212,0.37091988130563797,0.07177333333333333,0.1256,2.4273809523809526,4.714285714285714,0.058333333333333334,0.16666666666666666,0.09722222222222224,0.16666666666666666
p10_cfg4_s46,0.1,4,46,434,357,69.79970149253732,127.09000000000002,335,50.68690807799444,108.86499999999998,16.76492537313433,20.85,122,213,0.3641791044776119,0.08229333333333333,0.1432,2.8910714285714287,5.642857142857143,0.049999999999999996,0.16666666666666666,0.09444444444444446,0.16666666666666666
p30_cfg1_s42,0.3,1,42,417,415,47.4715,86.42749999999998,400,14.957314148681052,49.179999999999986,25.05012500000001,41.90250000000002,155,245,0.3875,0.05214666666666666,0.1208,0.807142857142857,2.7857142857142856,0.075,0.16666666666666666,0.1138888888888889,0.16666666666666666
p30_cfg1_s43,0.3,1,43,426,424,46.432754342431764,84.845,403,15.186150234741785,54.8875,25.3348635235732,40.84499999999999,155,248,0.38461538461538464,0.05266666666666667,0.12,0.843452380952381,2.8214285714285716,0.08333333333333333,0.16666666666666666,0.12222222222222223,0.16666666666666666
p30_cfg1_s44,0.3,1,44,382,378,45.4601108033241,89.19999999999999,361,14.48390052356021,60.12249999999998,24.6106648199446,39.30000000000001,128,233,0.3545706371191136,0.046306666666666677,0.1104,0.7422619047619049,2.5714285714285716,0.05555555555555555,0.16666666666666666,0.10833333333333335,0.16666666666666666
p30_cfg1_s45,0.3,1,45,413,412,47.52853535353536,88.0,396,13.661864406779662,44.70999999999996,26.605429292929294,46.15,150,246,0.3787878787878788,0.05136,0.1144,0.7404761904761905,2.6785714285714284,0.06388888888888888,0.16666666666666666,0.11944444444444446,0.16666666666666666
p30_cfg1_s46,0.3,1,46,434,434,48.04258373205742,81.58499999999995,418,13.007488479262673,39.09749999999996,27.313995215311003,49.69500000000001,166,252,0.39712918660287083,0.05472,0.1272,0.7464285714285714,2.7857142857142856,0.0861111111111111,0.16666666666666666,0.11944444444444446,0.16666666666666666
p30_cfg2_s42,0.3,2,42,417,417,46.75716019417476,76.37000000000002,412,10.704676258992805,28.989999999999984,27.205946601941747,44.962500000000006,182,230,0.441747572815534,0.050693333333333326,0.1216,0.619047619047619,2.607142857142857,0.08888888888888888,0.16666666666666666,0.10833333333333335,0.16666666666666666
p30_cfg2_s43,0.3,2,43,426,426,46.26348448687351,74.17000000000003,419,12.100586854460092,32.33749999999999,25.722076372315044,43.29999999999997,188,231,0.4486873508353222,0.05118666666666667,0.12,0.6916666666666667,2.9642857142857144,0.08888888888888888,0.16666666666666666,0.10833333333333335,0.16666666666666666
p30_cfg2_s44,0.3,2,44,382,382,42.843979057591625,66.78749999999998,382,8.56439790575916,21.792499999999983,24.49240837696335,41.842499999999994,168,214,0.4397905759162304,0.041960000000000004,0.1112,0.4720238095238095,2.1785714285714284,0.07777777777777778,0.16666666666666666,0.09722222222222224,0.16666666666666666
p30_cfg2_s45,0.3,2,45,413,413,44.18519417475728,71.9675,412,10.962227602905568,30.67,24.477184466019423,39.584999999999994,181,231,0.4393203883495146,0.04689333333333333,0.1144,0.6196428571428572,2.75,0.08333333333333333,0.16666666666666666,0.10555555555555557,0.16666666666666666
p30_cfg2_s46,0.3,2,46,434,434,45.342245370370364,71.385,432,10.7110599078341,25.969999999999995,25.37662037037037,43.417500000000004,191,241,0.44212962962962965,0.05050666666666667,0.12,0.630952380952381,2.5714285714285716,0.09166666666666666,0.16666666666666666,0.11111111111111113,0.16666666666666666
p30_cfg3_s42,0.3,3,42,417,417,47.209712230215835,75.39999999999999,417,14.682733812949637,46.36999999999998,24.323741007194243,43.019999999999996,187,230,0.44844124700239807,0.050786666666666674,0.1264,0.8160714285714286,3.142857142857143,0.09444444444444447,0.16666666666666666,0.1138888888888889,0.16666666666666666
p30_cfg3_s43,0.3,3,43,426,426,46.439125295508276,73.89999999999998,423,15.239319248826293,46.54999999999998,23.307210401891254,37.195,192,231,0.45390070921985815,0.05103999999999999,0.1232,0.8529761904761906,3.3214285714285716,0.09166666666666669,0.16666666666666666,0.10833333333333335,0.16666666666666666
p30_cfg3_s44,0.3,3,44,382,382,43.779078947368426,70.53750000000001,380,14.626570680628273,46.967499999999994,21.48934210526316,33.8625,173,207,0.45526315789473687,0.042879999999999995,0.1136,0.7375000000000002,3.107142857142857,0.07777777777777778,0.16666666666666666,0.09444444444444447,0.16666666666666666
p30_cfg3_s45,0.3,3,45,413,413,45.23036585365854,71.5325,410,15.395399515738497,45.01999999999999,22.144634146341467,34.20499999999999,188,222,0.4585365853658537,0.04816,0.1136,0.8446428571428571,3.0,0.08888888888888889,0.16666666666666666,0.10555555555555557,0.16666666666666666
p30_cfg3_s46,0.3,3,46,434,434,47.5951388888889,75.16749999999999,432,17.969124423963134,55.027499999999975,21.69166666666667,34.445,202,230,0.4675925925925926,0.053200000000000004,0.1248,1.006547619047619,3.392857142857143,0.09444444444444443,0.16666666666666666,0.11111111111111113,0.3333333333333333
p30_cfg4_s42,0.3,4,42,417,409,49.152162849872774,85.6,393,24.403163017031627,73.32499999999999,20.085750636132317,31.42,160,233,0.4071246819338422,0.054386666666666666,0.124,1.3142857142857143,3.4285714285714284,0.07222222222222222,0.16666666666666666,0.11666666666666668,0.16666666666666666
p30_cfg4_s43,0.3,4,43,426,417,50.679375,90.55000000000001,400,26.257738095238096,73.21999999999998,20.479125,30.124999999999986,160,240,0.4,0.05742666666666667,0.1248,1.4333333333333331,3.4285714285714284,0.075,0.16666666666666666,0.10833333333333335,0.16666666666666666
p30_cfg4_s44,0.3,4,44,382,366,47.89048991354467,81.62500000000001,347,25.07309782608696,71.24249999999999,18.891930835734872,28.189999999999998,139,208,0.40057636887608067,0.049893333333333345,0.1128,1.2749999999999997,3.4642857142857144,0.06388888888888887,0.16666666666666666,0.10833333333333335,0.16666666666666666
p30_cfg4_s45,0.3,4,45,413,402,47.47662337662338,81.96999999999997,385,24.378148148148146,68.19000000000001,18.883636363636366,26.64,156,229,0.4051948051948052,0.05242666666666666,0.1152,1.2970238095238096,3.3214285714285716,0.08055555555555555,0.16666666666666666,0.10000000000000002,0.16666666666666666
p30_cfg4_s46,0.3,4,46,434,420,52.02014925373135,95.6425,402,27.417298578199052,77.45749999999998,20.09800995024876,29.085000000000004,162,240,0.40298507462686567,0.06033333333333333,0.128,1.5416666666666665,3.7857142857142856,0.06666666666666667,0.16666666666666666,0.11666666666666667,0.16666666666666666
p50_cfg1_s42,0.5,1,42,417,355,55.0217008797654,138.40000000000003,341,25.649861111111107,94.7125,23.01363636363637,34.64999999999999,107,234,0.31378299120234604,0.06612000000000001,0.1312,1.6874999999999998,3.392857142857143,0.05,0.16666666666666666,0.11944444444444445,0.16666666666666666
p50_cfg1_s43,0.5,1,43,426,351,56.23920118343195,144.435,338,26.550554016620495,97.6,23.216124260355034,33.97999999999998,110,228,0.3254437869822485,0.0698,0.14,1.8238095238095238,3.8214285714285716,0.05277777777777778,0.16666666666666666,0.10277777777777779,0.16666666666666666
p50_cfg1_s44,0.5,1,44,382,338,53.49012345679013,132.5199999999999,324,24.828052325581393,90.71249999999995,23.022993827160494,32.39249999999998,97,227,0.2993827160493827,0.05826666666666666,0.1224,1.4172619047619048,3.142857142857143,0.047222222222222214,0.16666666666666666,0.10277777777777779,0.16666666666666666
p50_cfg1_s45,0.5,1,45,413,350,57.534911242603556,149.88499999999996,338,28.699439775910356,106.14999999999998,22.842159763313614,33.0225,105,233,0.3106508875739645,0.06749333333333335,0.1312,1.8023809523809524,3.5,0.047222222222222214,0.16666666666666666,0.10555555555555557,0.16666666666666666
p50_cfg1_s46,0.5,1,46,434,350,56.9519287833828,144.74,337,29.037290502793294,107.93749999999997,22.90356083086054,33.58,111,226,0.3293768545994065,0.07285333333333334,0.1456,2.0089285714285716,4.0,0.04444444444444444,0.16666666666666666,0.09444444444444443,0.16666666666666666
p50_cfg2_s42,0.5,2,42,417,412,47.82677261613692,78.22999999999999,409,14.555995203836927,45.90999999999999,25.718826405867976,40.08000000000001,187,222,0.4572127139364303,0.05176000000000001,0.1264,0.8047619047619048,3.107142857142857,0.09444444444444446,0.16666666666666666,0.1027777777777778,0.16666666666666666
p50_cfg2_s43,0.5,2,43,426,424,47.74451073985679,79.84499999999998,419,16.27276995305164,50.287499999999994,24.658830548926016,37.76499999999999,195,224,0.46539379474940334,0.05267999999999999,0.1232,0.8958333333333334,2.9642857142857144,0.10277777777777779,0.16666666666666666,0.10833333333333335,0.16666666666666666
p50_cfg2_s44,0.5,2,44,382,380,43.6972148541114,69.96,377,11.625785340314135,40.53499999999998,24.014721485411144,35.5,173,204,0.4588859416445623,0.04305333333333334,0.1144,0.605952380952381,2.642857142857143,0.09166666666666669,0.16666666666666666,0.09722222222222224,0.16666666666666666
p50_cfg2_s45,0.5,2,45,413,410,45.626348039215685,76.4325,408,15.488135593220335,50.10999999999998,23.28909313725491,35.2,189,219,0.4632352941176471,0.04873333333333334,0.1168,0.8357142857142856,2.8214285714285716,0.08888888888888889,0.16666666666666666,0.10555555555555557,0.16666666666666666
